,words,class
158,nhân tạo,negative
159,sự chậm lại,negative
160,giả mạo,negative
161,khó khăn,negative
162,đi chệch hướng,negative
163,tù nhân,negative
164,giảm bớt,negative
165,hạn hán,negative
166,vắng mặt,negative
167,giảm quy mô,negative
168,Không liên tục,negative
169,không biết,negative
170,cứu trợ,negative
171,trào lưu,negative
172,yếu nhất,negative
173,cách chức,negative
174,vấn đề,negative
175,sự thối nát,negative
176,dị thường,negative
177,bị gián đoạn,negative
178,hiểu lầm,negative
179,quỷ,negative
180,không được sử dụng,negative
181,nói nhỏ,negative
182,giam,negative
183,khám phá,negative
184,phi đạo đức,negative
185,bị cấm,negative
186,làm mất uy tín,negative
187,tạm dừng lại,negative
188,thất nghiệp,negative
189,không thể khắc phục,negative
190,phóng đại,negative
191,sự phá vỡ,negative
192,sự vĩnh viễn,negative
193,khoan dung,negative
194,sơ suất,negative
195,biên tập,negative
196,sửa lại,negative
197,sản xuất thừa,negative
198,băng phiến,negative
199,bị phá hủy,negative
200,câu hỏi,negative
201,có ý định,negative
202,định kiến,negative
203,không thanh lý,negative
204,chưa được giải quyết,negative
205,làm hỏng,negative
206,hủy bỏ,negative
207,không có người ở,negative
208,sai lệch,negative
209,imperil,negative
210,trả lương thấp,negative
211,thú nhận,negative
212,tịch thu tài sản,negative
213,tính phí,negative
214,sự hợp lý hóa,negative
215,bất cập,negative
216,cuộc xung đột,negative
217,bối rối,negative
218,không thể thay đổi,negative
219,bức xúc,negative
220,chùn chân,negative
221,thiếu,negative
222,lời buộc tội,negative
223,bỏ xót,negative
224,không sử dụng,negative
225,cấm vận,negative
226,sự tàn phá,negative
227,làm nhục,negative
228,sự giam giữ,negative
229,sự nhạy cảm,negative
230,bị trừng phạt,negative
231,bất lợi,negative
232,nhạy cảm,negative
233,không báo cáo,negative
234,bất ngờ,negative
235,tuyên bố từ chối trách nhiệm,negative
236,không may,negative
237,tranh tài,negative
238,thối nát,negative
239,không bền vững,negative
240,sự vi phạm,negative
241,âm mưu,negative
242,tuyên bố,negative
243,những kẻ đào tẩu,negative
244,mâu thuẫn,negative
245,không kiểm soát,negative
246,lật ngửa,negative
247,làm hại,negative
248,ác ý,negative
249,sự xâm nhập,negative
250,người gửi thư rác,negative
251,sự đồng ý,negative
252,cắt xén,negative
253,bất hợp pháp,negative
254,nghiêm trọng,negative
255,không thể tránh khỏi,negative
256,tháo rời,negative
257,xung đột,negative
258,va chạm,negative
259,thuốc bổ,negative
260,tính toán sai,negative
261,giải ngũ,negative
262,tính phí quá mức,negative
263,nhượng bộ,negative
264,sai,negative
265,nghỉ ngơi,negative
266,Tai nạn,negative
267,không có kế hoạch,negative
268,không có tiền,negative
269,không đủ năng lực,negative
270,không sửa chữa,negative
271,phạt,negative
272,tham nhũng,negative
273,Sa thải,negative
274,thiệt hại,negative
275,thời gian chết,negative
276,bỏ sót,negative
277,kết tủa,negative
278,làm nặng thêm,negative
279,mất hiệu lực,negative
280,bỏ rơi,negative
281,giấu,negative
282,tai nạn,negative
283,nhược điểm,negative
284,taints,negative
285,sai sự thật,negative
286,nghiêm khắc,negative
287,tẩy chay,negative
288,kiên trì,negative
289,khả năng thanh toán,negative
290,kéo dài,negative
291,không thân thiện,negative
292,bi kịch,negative
293,hoảng sợ,negative
294,trái đạo đức,negative
295,diễn giải sai,negative
296,định giá quá cao,negative
297,người phản đối,negative
298,sự thông đồng,negative
299,bực bội,negative
300,không có khả năng,negative
301,biến cố,negative
302,không được giao,negative
303,bị giam giữ,negative
304,hoảng loạn,negative
305,dời chỗ,negative
306,biến chứng,negative
307,moratoria,negative
308,sản xuất thiếu,negative
309,giao dịch,negative
310,không chắc chắn,negative
311,hành hung,negative
312,bị loại,negative
313,sự pha tạp,negative
314,xói mòn,negative
315,sự giễu cợt,negative
316,đính chính,negative
317,không bị phát hiện,negative
318,sớm,negative
319,công khai,negative
320,không lo,negative
321,sự cố,negative
322,vỡ nợ,negative
323,không gửi được,negative
324,phân công lại,negative
325,đi xuống,negative
326,bất đồng,negative
327,suy nhược,negative
328,sự bất tiện,negative
329,Tranh luận,negative
330,phá giá,negative
331,cảnh giác,negative
332,xâm phạm,negative
333,bay hơi,negative
334,sự mất ổn định,negative
335,bị tàn phá,negative
336,không đứng đắn,negative
337,sự dời chỗ,negative
338,đáng chê trách,negative
339,đối lập,negative
340,thận trọng,negative
341,ảm đạm,negative
342,giải tán,negative
343,trang phục,negative
344,lu mờ,negative
345,không đủ tư cách,negative
346,tình cờ,negative
347,đối thủ,negative
348,không có quyền,negative
349,vô cớ,negative
350,trọng tội,negative
351,lừa đảo,negative
352,tịch biên,negative
353,sự liều lĩnh,negative
354,không xác định,negative
355,sự bối rối,negative
356,thật không may,negative
357,không chấp thuận,negative
358,săn mồi,negative
359,trát đòi hầu tòa,negative
360,ghê tởm,negative
361,thiếu kinh nghiệm,negative
362,sự tan rã,negative
363,giam cầm,negative
364,sự dịch chuyển,negative
365,xấu đi,negative
366,sự lúng túng,negative
367,không thích,negative
368,quấy rối,negative
369,không hoàn thiện,negative
370,bền bỉ,negative
371,sự hưng phấn,negative
372,sự bỏ rơi,negative
373,từ bỏ,negative
374,vô lương tâm,negative
375,sự ngừng lại,negative
376,sự dừng lại,negative
377,điều chỉnh,negative
378,thiệt thòi,negative
379,không hẹn trước,negative
380,nghi ngờ,negative
381,điều tra,negative
382,thua cuộc,negative
383,hối lộ,negative
384,ám chỉ,negative
385,vượt qua,negative
386,các vấn đề,negative
387,bị bắt,negative
388,chia ra,negative
389,ngăn cấm,negative
390,nghỉ học,negative
391,phản xạ,negative
392,nhầm lẫn,negative
393,không có tuổi,negative
394,kém cỏi,negative
395,hiểu sai,negative
396,biến dạng,negative
397,cầu xin,negative
398,thanh lý,negative
399,chưa hoàn thiện,negative
400,Thư rác,negative
401,có thể buộc tội,negative
402,không có bảo hiểm,negative
403,không khuyến khích,negative
404,chưa hoàn thành,negative
405,sự trì hoãn,negative
406,khẳng định,negative
407,làm gián đoạn,negative
408,bị giam cầm,negative
409,không đạt tiêu chuẩn,negative
410,sự bãi bỏ,negative
411,cẩu thả,negative
412,tạm dừng,negative
413,mua chuộc,negative
414,sự bất bình,negative
415,tệ hơn,negative
416,bỏ cuộc,negative
417,mục đích,negative
418,không có mùi vị,negative
419,bị truy tố,negative
420,quá tải,negative
421,sự trả đũa,negative
422,kiện tụng,negative
423,sự sụp đổ,negative
424,không đủ,negative
425,bị tấn công,negative
426,bất thường,negative
427,cắt đứt,negative
428,yêu sách,negative
429,không được phép,negative
430,nonrenewal,negative
431,sự biên tập,negative
432,tục tĩu,negative
433,xấu,negative
434,bị hại,negative
435,chậm,negative
436,không quan trọng,negative
437,không kịp thời,negative
438,không thể bán được,negative
439,gắn nhãn hiệu sai,negative
440,làm mất ổn định,negative
441,thu nhỏ,negative
442,vật cản,negative
443,không bán được,negative
444,thông đồng,negative
445,mất tích,negative
446,Làm lơ,negative
447,bản án,negative
448,thanh toán thừa,negative
449,nói trước,negative
450,không cần thiết,negative
451,không hợp lệ,negative
452,không có giấy phép,negative
453,giặt giũ,negative
454,chưa trưởng thành,negative
455,căng thẳng,negative
456,không cố ý,negative
457,việc làm sai trái,negative
458,trở xuống,negative
459,hổ thẹn,negative
460,thắt chặt,negative
461,không hoàn lại,negative
462,Khép kín,negative
463,không sẵn lòng,negative
464,vỡ,negative
465,không khả thi,negative
466,làm lại,negative
467,đồng ý,negative
468,nói quá,negative
469,nghỉ giải lao,negative
470,chắc chắn,negative
471,gây nhầm lẫn,negative
472,nguy hiểm,negative
473,thương tích,negative
474,tò mò,negative
475,làm mất hiệu lực,negative
476,sự sa thải,negative
477,lừa dối,negative
478,sản xuất quá mức,negative
479,không mong muốn,negative
480,khác biệt,negative
481,tạo dáng,negative
482,Sự đối lập,negative
483,không được sản xuất,negative
484,tranh cãi,negative
485,trắng án,negative
486,bình quân,negative
487,tiền bảo lãnh,negative
488,biện hộ,negative
489,liên lụy,negative
490,đánh lạc hướng,negative
491,được tha bổng,negative
492,mối đe dọa,negative
493,khó hiểu,negative
494,không đáng tin cậy,negative
495,sự khác biệt,negative
496,không tính toán,negative
497,hình phạt,negative
498,bỏ,negative
499,giam giữ,negative
500,phán quyết,negative
501,quang sai,negative
502,rèm cửa,negative
503,Không trung thực,negative
504,không công bằng,negative
505,tiền xử lý,negative
506,thiên tai,negative
507,lỗi,negative
508,chấm dứt,negative
509,xử phạt,negative
510,nhàn rỗi,negative
511,vô hiệu,negative
512,lời thú tội,negative
513,thiếu vốn,negative
514,mặc lại,negative
515,chống lại,negative
516,thiếu trách nhiệm,negative
517,không đạt yêu cầu,negative
518,phủ quyết,negative
519,độc quyền,negative
520,không tương thích,negative
521,ngừng hoạt động,negative
522,cơ cấu lại,negative
523,tranh chấp,negative
524,hạ cấp,negative
525,xúc phạm,negative
526,sai lầm,negative
527,xóa sổ,negative
528,tống giam,negative
529,kết tội,negative
530,tranh luận,negative
531,kết thúc,negative
532,trở ngại,negative
533,can thiệp,negative
534,không cho phép,negative
535,redacted,negative
536,sự soi xét,negative
537,sự ép buộc,negative
538,tồn tại,negative
539,làm lu mờ,negative
540,một cách bất cẩn,negative
541,sự không chính xác,negative
542,những lời cầu xin,negative
543,quả báo,negative
544,đê tiện,negative
545,biển thủ,negative
546,bị cản trở,negative
547,sửa chữa,negative
548,không hoạt động,negative
549,bị lạm dụng,negative
550,sự trừng phạt,negative
551,làm phức tạp,negative
552,thừa nhận,negative
553,sự phá hủy,negative
554,đương sự,negative
555,tắt máy,negative
556,không tiết lộ,negative
557,nghĩa bóng,negative
558,thông tin sai,negative
559,bị kết án,negative
560,nhặt được,negative
561,lật ngược,negative
562,gièm pha,negative
563,phù phiếm,negative
564,sụp đổ,negative
565,sự sai lệch,negative
566,bẩn quá,negative
567,sự suy thoái,negative
568,răn đe,negative
569,không thích hợp,negative
570,bỏ lỡ,negative
571,thử thách,negative
572,khinh thường,negative
573,không quan tâm,negative
574,từ chối,negative
575,nhớ,negative
576,không hợp,negative
577,kẻ chủ mưu,negative
578,làm suy yếu,negative
579,lo,negative
580,xuyên tạc,negative
581,nhiễm độc,negative
582,thoái vị,negative
583,cuộc điều tra,negative
584,đột ngột,negative
585,tàn phá,negative
586,tôi sẽ,negative
587,rào chắn,negative
588,không hiệu quả,negative
589,ức chế,negative
590,cạn kiệt,negative
591,khắc nghiệt,negative
592,mờ nhạt,negative
593,truy tố,negative
594,chê bai,negative
595,cố ý,negative
596,lệch,negative
597,tư thế,negative
598,suy sụp,negative
599,sự kiểm duyệt,negative
600,lệch lạc,negative
601,cảnh báo,negative
602,arrearage,negative
603,không sản xuất,negative
604,chạy trốn,negative
605,dễ bị tổn thương,negative
606,Gợi lại,negative
607,sự tha bổng,negative
608,gánh nặng,negative
609,tha bổng,negative
610,sự không phù hợp,negative
611,liên quan,negative
612,những người phản đối,negative
613,dung túng,negative
614,xen vào,negative
615,nản lòng,negative
616,thiếu sót,negative
617,không thể tiếp cận,negative
618,tha thứ,negative
619,rối loạn chức năng,negative
620,xáo trộn,negative
621,bị xâm phạm,negative
622,ngược lại,negative
623,tội phạm,negative
624,hung bạo,negative
625,bắt nạt trên mạng,negative
626,lúng túng,negative
627,những điểm yếu,negative
628,đánh giá thấp,negative
629,phiền,negative
630,khó chịu,negative
631,thương tật,negative
632,aberrant,negative
633,bị thương,negative
634,cản trở,negative
635,phức tạp,negative
636,đi dã ngoại,negative
637,Chưa thanh toán,negative
638,không được che đậy,negative
639,mối nguy hiểm,negative
640,khiếm nhã,negative
641,có hại,negative
642,mất trật tự,negative
643,không thể hòa giải,negative
644,không có sẵn,negative
645,được chấp nhận,negative
646,sự tháo gỡ,negative
647,mất giá,negative
648,đánh giá lại,negative
649,không nghi ngờ,negative
650,trừng phạt,negative
651,bị hủy bỏ,negative
652,sự hủy bỏ,negative
653,vô căn cứ,negative
654,sự đe dọa,negative
655,lời nói dưới,negative
656,làm nản lòng,negative
657,tiết lộ,negative
658,khuyết điểm,negative
659,Sự va chạm,negative
660,không tồn tại,negative
661,không cân xứng,negative
662,tự trọng,negative
663,sự vô lý,negative
664,xưng,negative
665,cung vượt cầu,negative
666,tràn lan,negative
667,đình chỉ,negative
668,sự co lại,negative
669,kéo,negative
670,lo âu,negative
671,gây ra,negative
672,không bình thường,negative
673,"lòng tin chắc, sự kết án, phán quyết",negative
674,tắc nghẽn,negative
675,không thể ăn được,negative
676,sự phức tạp,negative
677,trả đũa,negative
678,chán nản,negative
679,sự lùi bước,negative
680,không an toàn,negative
681,phạm pháp,negative
682,thanh toán thiếu,negative
683,không thể nhìn thấy,negative
684,không thể chấp nhận được,negative
685,lặn,negative
686,kỷ luật,negative
687,chạy không tải,negative
688,vuốt lại,negative
689,tai hại,negative
690,không thể thu thập được,negative
691,buồn bã,negative
692,không đồng ý,negative
693,không đủ tiêu chuẩn,negative
694,sự vô hiệu,negative
695,chuyển hướng,negative
696,bị tước đoạt,negative
697,trì trệ,negative
698,biến mất,negative
699,sự không hoàn hảo,negative
700,xa lánh,negative
701,khiêu khích,negative
702,đối đầu,negative
703,đáng thất vọng,negative
704,phiền muộn,negative
705,không lường trước được,negative
706,từ chối trách nhiệm,negative
707,mất uy tín,negative
708,cố chấp,negative
709,oan trái,negative
710,thất vọng,negative
711,người nắm độc quyền,negative
712,không thể sửa chữa,negative
713,bị chê bai,negative
714,đóng cửa,negative
715,sự chê bai,negative
716,vô hiệu hóa,negative
717,writedown,negative
718,nghịch cảnh,negative
719,không trung thành,negative
720,sức lan tỏa,negative
721,cáo buộc,negative
722,vitiates,negative
723,sự ngừng hoạt động,negative
724,sự hiểu lầm,negative
725,cầu thang,negative
726,ngoại tình,negative
727,không hành động,negative
728,bất lực,negative
729,không hợp lý,negative
730,không muốn,negative
731,cắt,negative
732,khích lệ,negative
733,không thường xuyên,negative
734,chính đáng,negative
735,phát triển,negative
736,chênh lệch,negative
737,nổi dậy,negative
738,cái cuốc,negative
739,chậm lại,negative
740,đồ giả,negative
741,chế giễu,negative
742,bất đồng ý kiến,negative
743,làm chứng,negative
744,hạ giá,negative
745,làm giả,negative
746,giảm dần,negative
747,vô cảm,negative
748,không hài lòng,negative
749,kém hiệu quả,negative
750,truy thu,negative
751,lo lắng,negative
752,bất cẩn,negative
753,vi phạm,negative
754,phi thường,negative
755,sự dễ bị tổn thương,negative
756,dán nhãn sai,negative
757,kinh khủng,negative
758,cáo trạng,negative
759,buộc tội,negative
760,sự cản trở,negative
761,khuyết tật,negative
762,bị loại trừ,negative
763,làm ngơ,negative
764,áp dụng sai,negative
765,gây tranh cãi,negative
766,giảm giá trị,negative
767,đe dọa,negative
768,đi vòng quanh,negative
769,không thể mua được,negative
770,người đánh răng,negative
771,than phiền,negative
772,bị làm phiền,negative
773,bao vây,negative
774,thua,negative
775,bắt giữ,negative
776,phiền nhiễu,negative
777,tội nhẹ,negative
778,mất điện,negative
779,không được thu thập,negative
780,từ chức,negative
781,che giấu,negative
782,trượt,negative
783,phi lý,negative
784,sai giá,negative
785,tội nghiệp,negative
786,đàm phán lại,negative
787,yếu ớt,negative
788,phá bỏ,negative
789,cho không,negative
790,thất bại,negative
791,dung nạp,negative
792,đau khổ,negative
793,Thảm khốc,negative
794,chống độc quyền,negative
795,bất chính,negative
796,không đúng cách,negative
797,hạn chế,negative
798,không chính đáng,negative
799,bị bỏ rơi,negative
800,nói xấu,negative
801,mặc định lại,negative
802,cúp điện,negative
803,nhỏ mọn,negative
804,không thỏa đáng,negative
805,bất đồng quan điểm,negative
806,sự bất cẩn,negative
807,không thể xác định được,negative
808,khóa máy,negative
809,dồn dập,negative
810,hòa giải,negative
811,công nhận,negative
812,hy sinh,negative
813,người vi phạm,negative
814,đốt cháy,negative
815,hoãn lại,negative
816,liều lĩnh,negative
817,sự trả thù,negative
818,sự chỉ trích,negative
819,nỗi khó khăn,negative
820,ly hôn,negative
821,yếu đuối,negative
822,phá vỡ,negative
823,rắc rối,negative
824,Hạn chế,negative
825,sự bất mãn,negative
826,tính toán sai lầm,negative
827,chủng,negative
828,phân loại sai,negative
829,không có cơ sở,negative
830,chiếm lại,negative
831,suy thoái,negative
832,cung cấp quá mức,negative
833,chiến đấu,negative
834,thách thức,negative
835,sự ngăn cản,negative
836,không che đậy,negative
837,nhấn mạnh,negative
838,khóa cửa,negative
839,hậu quả,negative
840,người phạm tội,negative
841,không đúng,negative
842,phân tâm,negative
843,sự hòa giải,negative
844,hủy hoại,negative
845,lãng phí,negative
846,coi thường,negative
847,không trung thực,negative
848,nhớ lại,negative
849,ngừng lại,negative
850,bị,negative
851,nghi phạm,negative
852,người biểu tình,negative
853,tước đoạt,negative
854,nói sai,negative
855,chướng ngại vật,negative
856,chiến thắng,negative
857,bạo lực,negative
858,bịnh,negative
859,nôn ra,negative
860,đáng ghê tởm,negative
861,không chính xác,negative
862,quá mức,negative
863,sự đền bù,negative
864,không đáng có,negative
865,lấn sân,negative
866,nài nỉ,negative
867,phủ định,negative
868,thay thế,negative
869,sự cắt bỏ,negative
870,đứt gãy,negative
871,tiền phạt,negative
872,không thể phục hồi,negative
873,chắc chắn xảy ra,negative
874,không sử dụng được,negative
875,sự tiêu hao,negative
876,quá hạn,negative
877,nhầm,negative
878,làm bị thương,negative
879,sự hỏng hóc,negative
880,sự gián đoạn,negative
881,bất bình,negative
882,không có lợi,negative
883,Thái quá,negative
884,bồi thường,negative
885,kiểm duyệt,negative
886,không thể tin được,negative
887,trầm trọng hơn,negative
888,bị cáo buộc,negative
0,người chiến thắng,positive
1,cấp trên,positive
2,tốt,positive
3,thành thạo,positive
4,hài lòng,positive
5,lấy lại,positive
6,mạnh nhất,positive
7,tiến bộ,positive
8,ngoạn mục,positive
9,thông suốt,positive
10,định mệnh,positive
11,chủ động,positive
12,thăng tiến,positive
13,lợi nhuận,positive
14,vô đối,positive
15,vừa lòng,positive
16,liên minh,positive
17,vượt trội,positive
18,vượt trội hơn,positive
19,ưu việt,positive
20,hạnh phúc nhất,positive
21,dội lại,positive
22,đảm bảo,positive
23,đẹp đẽ,positive
24,hiệu quả,positive
25,thưởng,positive
26,trơn tru,positive
27,một cách hài lòng,positive
28,chính trực,positive
29,thành công,positive
30,hoàn thiện,positive
31,tích cực,positive
32,đặc biệt,positive
33,kích hoạt,positive
34,đứng đầu,positive
35,sự sống động,positive
36,sáng chế,positive
37,vui mừng,positive
38,đẹp mắt,positive
39,sự phân biệt,positive
40,dễ dàng hơn,positive
41,dẫn đầu,positive
42,sáng tạo,positive
43,phát triển,positive
44,vui lòng,positive
45,uy tín,positive
46,được trao quyền,positive
47,tuyệt quá,positive
48,yên tâm,positive
49,giải quyết,positive
50,tự tin,positive
51,linh hoạt,positive
52,tôn kính,positive
53,có thể,positive
54,dồi dào,positive
55,có lãi,positive
56,cách mạng hóa,positive
57,thành tựu,positive
58,đổi mới,positive
59,điểm mạnh,positive
60,lý tưởng,positive
61,sự hợp tác,positive
62,bất chấp,positive
63,phát minh,positive
64,những cơ hội,positive
65,sức mạnh,positive
66,tính linh hoạt,positive
67,đã thành công,positive
68,xứng đáng,positive
69,phần thưởng,positive
70,trao quyền,positive
71,người phát minh,positive
72,người ủng hộ,positive
73,mong muốn,positive
74,ổn định,positive
75,sự vĩ đại,positive
76,xinh đẹp,positive
77,tăng cường,positive
78,khen ngợi,positive
79,người đổi mới,positive
80,tuyệt diệu,positive
81,thành tích,positive
82,yêu thích,positive
83,sự hưởng thụ,positive
84,hồi phục,positive
85,cam đoan,positive
86,thắng lợi,positive
87,sôi động,positive
88,phổ biến,positive
89,sự phồn thịnh,positive
90,Thịnh vượng,positive
91,làm mịn,positive
92,sự đổi mới,positive
93,minh bạch,positive
94,rất nhiều,positive
95,tốt hơn,positive
96,sự thỏa mãn,positive
97,mịn,positive
98,buổi ra mắt,positive
99,củng cố,positive
100,hạnh phúc,positive
101,to lớn,positive
102,ấn tượng,positive
103,cải tiến,positive
104,khả năng,positive
105,hoàn hảo,positive
106,những người đổi mới,positive
107,đạt được,positive
108,hoàn thành,positive
109,vượt qua,positive
110,thỏa đáng,positive
111,tiếp thu,positive
112,sự ổn định,positive
113,gương mẫu,positive
114,đi lên,positive
115,thuận lợi,positive
116,mạnh mẽ hơn,positive
117,cao nhất,positive
118,đầy cảm hứng,positive
119,cộng tác viên,positive
120,sự thành công,positive
121,quý giá,positive
122,có công,positive
123,chiến thắng,positive
124,cuộc cách mạng,positive
125,mạnh,positive
126,sự trồi lên,positive
127,gây ấn tượng,positive
128,vô song,positive
129,thỏa mãn,positive
130,cải thiện,positive
131,có lợi,positive
132,dễ chịu,positive
133,đột phá,positive
134,thịnh vượng,positive
135,tính ưu việt,positive
136,sự sáng tạo,positive
0,tùy tiện,uncertainty
1,tính toán lại,uncertainty
2,làm mất ổn định,uncertainty
3,tin tưởng,uncertainty
4,giả thiết,uncertainty
5,giả định,uncertainty
6,cho rằng,uncertainty
7,các biện pháp phòng ngừa,uncertainty
8,tiên đoán,uncertainty
9,sự dự đoán,uncertainty
10,dự đoán trước,uncertainty
11,sự thay đổi,uncertainty
12,khả năng xảy ra,uncertainty
13,gây nhầm lẫn,uncertainty
14,sự phơi bày,uncertainty
15,không thể đoán được,uncertainty
16,sai,uncertainty
17,xuất hiện,uncertainty
18,mơ hồ,uncertainty
19,sự tùy tiện,uncertainty
20,dao động,uncertainty
21,dự đoán,uncertainty
22,khó hiểu,uncertainty
23,hầu hết,uncertainty
24,rõ ràng,uncertainty
25,bình thường,uncertainty
26,không hợp lý,uncertainty
27,chăm sóc,uncertainty
28,xác suất,uncertainty
29,diễn giải lại,uncertainty
30,hiếm khi,uncertainty
31,xem xét lại,uncertainty
32,mạo hiểm,uncertainty
33,vô thời hạn,uncertainty
34,không chắc chắn,uncertainty
35,dè dặt,uncertainty
36,khả năng dự đoán,uncertainty
37,ẩn,uncertainty
38,có thể,uncertainty
39,sự phụ thuộc,uncertainty
40,tùy theo,uncertainty
41,không thể tránh được,uncertainty
42,lú lẫn,uncertainty
43,đoán trước,uncertainty
44,sự phơi nhiễm,uncertainty
45,sự thiếu cân nhắc,uncertainty
46,có khả năng,uncertainty
47,phỏng đoán,uncertainty
48,thay đổi,uncertainty
49,rủi ro,uncertainty
50,thận trọng,uncertainty
51,tình cờ,uncertainty
52,sơ bộ,uncertainty
53,nghĩa bóng,uncertainty
54,làm rõ,uncertainty
55,Bất kỳ,uncertainty
56,phụ thuộc,uncertainty
57,bất ổn,uncertainty
58,hình như,uncertainty
59,có điều kiện,uncertainty
60,khác nhau,uncertainty
61,không xác định,uncertainty
62,gần đúng,uncertainty
63,sự hỗn loạn,uncertainty
64,đề xuất,uncertainty
65,abeyances,uncertainty
66,abeyance,uncertainty
67,người xem xét lại,uncertainty
68,đi chệch hướng,uncertainty
69,nghi ngờ,uncertainty
70,thỉnh thoảng,uncertainty
71,khả năng,uncertainty
72,lệch,uncertainty
73,sự không hoàn chỉnh,uncertainty
74,có lẽ,uncertainty
75,lệch lạc,uncertainty
76,có thể xảy ra,uncertainty
77,đa dạng,uncertainty
78,sự mơ hồ,uncertainty
79,dị thường,uncertainty
80,nhầm lẫn,uncertainty
81,bản lề,uncertainty
82,ngẫu nhiên,uncertainty
83,không xác định được,uncertainty
84,ngã tư,uncertainty
85,dự phòng,uncertainty
86,không chính xác,uncertainty
87,có thể tưởng tượng được,uncertainty
88,xấp xỉ,uncertainty
89,kiểm tra lại,uncertainty
90,sai lệch,uncertainty
91,tùy,uncertainty
92,suy đoán,uncertainty
93,Gần,uncertainty
94,đánh giá lại,uncertainty
95,bất thường,uncertainty
96,tin,uncertainty
97,người dự đoán,uncertainty
98,đã xuất hiện,uncertainty
99,ngẫu nhiên hóa,uncertainty
0,lên cao,litigious
1,giấy triệu tập,litigious
2,tư pháp,litigious
3,bị đánh bại,litigious
4,nói dối,litigious
5,không giấy bạc,litigious
6,nguyên đơn,litigious
7,không có số,litigious
