,Unnamed: 0,index,NewsId,Ticker,NewsTitle,NewsFullContent,PublicDate,OrganCode
2024,2024,2027,16663,FPT,FPT: Niêm yết bổ sung cổ phiếu ,"Số lượng chứng khoán niêm yết bổ sung: 46.595.473 cổ phiếu (Bốn mươi sáu triệu, năm trăm chín mươi lăm nghìn, bốn trăm bảy mươi ba cổ phiếu) Tổng giá trị niêm yết bổ sung (theo mệnh giá): 465.954.730.000 đồng (Bốn trăm sáu mươi lăm tỷ, chín trăm năm mươi bốn triệu, bảy trăm ba mươi nghìn đồng)",2008-12-22 17:02:00,FPT
2039,2039,2042,16677,FPT,"FPT: Lợi nhuận trước thuế 11 tháng năm 2008 đạt 67,1 triệu USD, đạt 90,8% kế hoạch năm","Lợi nhuận trước thuế trong tháng 11 của toàn tập đoàn đạt 6,2 triệu USD; lũy kế 11 tháng đạt 67,1 triệu USD - tăng 24% so với cùng kỳ năm 2007 và đạt 90,8% kế hoạch năm 2008.Các hoạt động kinh doanh trong mảng tích hợp hệ thống, xuất khẩu phần mềm, viễn thông, đào tạo và phân phối sản phẩn công nghệ thông tin trong 11 tháng đã hoàn thành kế hoạch doanh số năm lần lượt là 96,4%, 80,7%, 94%, 111,8% và 92,7%.Được biết, ngày 22/12/2008, Sở Giao dịch Chứng khoán Tp.HCM đã có công văn chấp thuận cho Công ty Cổ phần FPT (FPT-HOSE) được niêm yết bổ sung 46.595.473 cổ phiếu phát hành thêm với tổng giá trị chứng khoán tính theo mệnh giá là 465.954.730.000 đồng.* Tỷ lệ sở hữu của FPT trong các công ty con và công ty liên kết:",2008-12-23 09:31:00,FPT
2057,2057,2060,16694,FPT,FPT: Ông Trương Gia Bình sẽ thôi chức Tổng giám đốc FPT,"Ông Nguyễn Thành Nam hiện là Chủ tịch Hội đồng Quản trị của Công ty Phần mềm FPT, một công ty thành viên của Tập đoàn FPT, có tốc độ tăng trưởng 70%/năm.Trong khi đó, ông Trương Gia Bình vẫn tiếp tục giữ chức vụ Chủ tịch Hội đồng Quản trị FPT. Ông sẽ tập trung vào việc phát triển chiến lược cũng như công tác nhân sự cao cấp của Tập đoàn FPT.Ông Nguyễn Thành Nam là một trong những sáng lập viên của FPT, đã nắm giữ nhiều trọng trách của Tập đoàn FPT. Ông lãnh đạo Công ty Phần mềm FPT từ 17 người năm 1999 phát triển thành công ty có số nhân viên là 2.700 vào năm 2008.“Là người đã có nhiều năm kinh nghiệm trong lĩnh vực kinh doanh xuất khẩu phần mềm và toàn cầu hóa, FPT kỳ vọng ông Nguyễn Thành Nam sẽ người lãnh đạo xuất sắc của FPT trong giai đoạn mới” - theo thông cáo của FPT.Trước đó, FPT phát đi thông báo từ ngày 1/12, ông Trương Gia Bình thôi giữ chức Chủ tịch Hội đồng Quản trị Công ty Cổ phần Phần mềm FPT (FSOFT). Thay vị trí lãnh đạo cấp cao của ông Bình tại FSOFT từ ngày 1/12 là ông Nguyễn Thành Nam, vốn là tổng giám đốc công ty.Thông tin này đã khiến không ít người hiểu nhầm và tạo ra tin đồn về việc ông Trương Gia Bình thôi chức vụ Chủ tịch Hội đồng Quản trị Công ty Cổ phần FPT. Sau đó, chiều 8/12, đại diện truyền thông của Tập đoàn FPT xác nhận ông Trương Gia Bình vẫn giữ nguyên chức vụ.Trong báo cáo mới nhất liên quan đến kết quả kinh doanh 11 tháng năm 2008, doanh thu toàn tập đoàn đạt 77 triệu USD; lũy kế 11 tháng năm 2008 đạt 919 triệu USD - tăng 26,4% so với cùng kỳ năm ngoái và đạt 92,9% kế hoạch năm nay.Lợi nhuận trước thuế trong tháng 11 của toàn tập đoàn đạt 6,2 triệu USD; lũy kế 11 tháng đạt 67,1 triệu USD - tăng 24% so với cùng kỳ năm 2007 và đạt 90,8% kế hoạch năm 2008.Kết thúc ngày giao dịch 23/12, cổ phiếu FPT ở mức 49.600 đồng, giảm 3,68% so với phiên trước đó.",2008-12-23 14:17:00,FPT
2151,2151,2154,16780,FPT,FPT: Thay Tổng Giám đốc,"Theo tin từ Sở GDCK Tp.HCM, Công ty CP FPT bổ nhiệm Ông Nguyễn Thành Nam làm Tổng Giám đốc kể từ ngày 13/4/2009.Theo đó Ông Nam có nhiệm vụ, quyền hạn như: - Điều hành hoạt động kinh doanh hằng tháng của Công ty cổ phần FPT, chịu sự giám sát của Hội đồng Quản trị và chịu trách nhiệm trước Hội đồng Quản trị Công ty cổ phần FPT và trước pháp luật về việc thực hiện các quyền và nhiệm vụ được giao.- Thực hiện các nhiệm vụ, quyền hạn khác theo quy định của Pháp luật hiện hành, điều lệ công ty cổ phần FPT và quyết định của Hội đồng Quản trị công ty cổ phần FPT.",2008-12-26 10:59:00,FPT
2245,2245,2248,16953,FPT,"FPT: Phó Chủ tịch HĐQT được thưởng 937,247cp",Tên người thực hiện giao dịch: Trương Thị Thanh Thanh Chức vụ hiện nay tại tổ chức niêm yết: Phó Chủ tịch HĐQT Công ty CP Phát triển Đầu tư Công nghệ FPT Mã Chứng khoán Giao dịch: FPT Số lượng cổ phiếu nắm giữ trước khi giao dịch: 1.937.807 cổ phiếu Số lượng cổ phiếu đã giao dịch (bán): 264.500 cổ phiếu Số liệu cổ phiếu được thưởng: 937.247 cổ phiếu Số lượng cổ phiếu nắm giữ sau khi giao dịch: 2.610.554 cổ phiếu Thời gian thực hiện giao dịch: từ 18/07/2008 đến 25/12/2008.,2008-12-30 11:44:00,FPT
2257,2257,2260,16969,FPT,"FPT: Kế toán trưởng đăng ký bán 30,000cp",Tên người thực hiện giao dịch: Nguyễn Thế Phương Chức vụ hiện nay tại tổ chức niêm yết: Kế toán trưởng Công ty CP FPT. Mã Chứng khoán Giao dịch: FPT Số lượng cổ phiếu nắm giữ trước khi giao dịch: 71.013 cổ phiếu Số lượng cổ phiếu dự kiến giao dịch (bán): 30.000 cổ phiếu Số lượng cổ phiếu nắm giữ sau khi giao dịch: 41.013 cổ phiếu Mục đích giao dịch: Phục vụ nhu cầu tài chính cá nhân. Phương thức giao dịch: giao dịch thỏa thuận. Thời gian dự kiến thực hiện giao dịch: 31/12/2008.,2008-12-30 15:18:00,FPT
2296,2296,2299,17003,FPT,"FPT: Doanh thu đạt 1 tỷ USD, hoàn thành kế hoạch năm 2008","Ông Bùi Quang Ngọc, Phó tổng giám đốc Tập đoàn FPT cho biết: “Năm 2008, FPT đạt doanh thu 1 tỷ USD ghi dấu ấn quan trọng trong chặng đường 20 năm phát triển của tập đoàn”.“Từ năm 2001 – 2007, tốc độc tăng trưởng trung bình của FPT vào khoảng 40%/năm. FPT sẽ tiếp tục duy trì tốc độ tăng trưởng trong các năm tới và giữ vững định hướng phát triển của tập đoàn” – ông Ngọc nói.Năm 1988, FPT được thành lập với 13 sáng lập viên. Sau 10 năm phát triển, năm 1998, FPT đã đạt mức doanh thu 46 triệu USD.Năm 2003, FPT đạt doanh số 200 triệu USD và đặt ra mục tiêu doanh số 1 tỷ USD vào năm 2008.Được biết, tính đến tháng 11/2008, FPT đã có 16 công ty thành viên và nhiều công ty liên kết, với hơn 9.000 nhân viên.Được biết, ngày 26/12/2008, Công ty Cổ phần FPT (FPT-HOSE) đã niêm yết bổ sung 46.595.473 cổ phiếu phát hành thêm, nâng tổng số cổ phiếu đang lưu hành của FPT lên gần 141 triệu cổ phiếu.",2008-12-31 13:31:00,FPT
2384,2384,2387,17178,FPT,"FPT: Kế toán trưởng đã bán xong 30,000cp",+ Tên người thực hiện giao dịch: Nguyễn Thế Phương+ Chức vụ hiện nay tại tổ chức niêm yết: Kế toán trưởng Công ty CP FPT.+ Mã Chứng khoán Giao dịch: FPT+ Số lượng cổ phiếu nắm giữ trước khi giao dịch: 71.013 cổ phiếu+ Số lượng cổ phiếu đã giao dịch (bán): 30.000 cổ phiếu+ Số lượng cổ phiếu nắm giữ sau khi giao dịch: 41.013 cổ phiếu+ Mục đích giao dịch: Phục vụ nhu cầu tài chính cá nhân.+ Phương thức giao dịch: giao dịch thỏa thuận.+ Thời gian thực hiện xong giao dịch: 31/12/2008.,2009-01-05 15:35:00,FPT
2463,2463,2466,17253,FPT,"FPT: Thành viên HĐQT đăng ký bán 456,000cp",Tên người thực hiện giao dịch: Hoàng Nam Tiến Chức vụ hiện nay tại tổ chức niêm yết: Thành viên HĐQT Công ty cổ phần FPT Mã Chứng khoán Giao dịch: FPT Số lượng cổ phiếu nắm giữ trước khi giao dịch: 2.280.640 cổ phiếu Số lượng cổ phiếu dự kiến giao dịch (bán): 456.000 cổ phiếu Số lượng cổ phiếu dự kiến nắm giữ sau khi giao dịch: 1.824.640 cổ phiếu Mục đích giao dịch: Phục vụ nhu cầu tài chính cá nhân. Thời gian dự kiến thực hiện giao dịch: từ 08/01/2009 đến 31/03/2009.,2009-01-07 10:49:00,FPT
2517,2517,2520,17310,FPT,"FPT: Mẹ Thành viên HĐQT đã bán xong 3,000cp",Tên người thực hiện giao dịch: Nguyễn Thị Kim ThoaTên người có liên quan: Trương Đình Anh (là con)Chức vụ của người có liên quan hiện nay tại tổ chức niêm yết: Thành viên HĐQT.Mã Chứng khoán Giao dịch: FPTSố lượng cổ phiếu nắm giữ trước khi giao dịch: 10.500 cổ phiếuSố lượng cổ phiếu đã giao dịch (bán): 3.000 cổ phiếuSố lượng cổ phiếu nắm giữ sau khi giao dịch: 12.750 cổ phiếu (bao gồm cổ phiếu thưởng với tỷ lệ 50% từ thặng dư vốn).Mục đích thực hiện giao dịch: tiêu dùng.Thời gian thực hiện xong giao dịch: 30/12/2008.,2009-01-09 10:19:00,FPT
2601,2601,2604,18485,FPT,FPT: 1.249 tỷ đồng lãi trước thuế,"17h chiều 13/01, Tập đoàn FPT công bố doanh thu năm 2008 đạt trên 16.806 tỷ đồng, lãi trước thuế đạt trên 1.249 tỷ đồng.Với con số trên, năm nay FPT tăng trưởng 21% so với năm 2007 và vượt 12,4% kế hoạch đề ra. Lãi trước thuế đạt trên 1.249 tỷ đồng, vượt 5,6% so với kế hoạch năm và tăng 21,4% so với cùng kỳ năm 2007.Lãi sau thuế cổ đông công ty mẹ đạt gần 839 tỷ đồng, so với năm 2007 đã tăng 13,7%.Lãi sơ bản trên cổ phiếu bình quân là 5.976 đồng/cổ phiếu, tăng 12,4% so với cùng kỳ năm 2007.Về doanh số, mảng đạt kế hoạch lợi nhuận cao nhất là tích hợp hệ thống, đạt 319,6 tỷ đồng (đạt 135% kế hoạch), viễn thông đạt 359 tỷ đồng (đạt 89,8% kế hoạch), xuất khẩu phần mềm đạt 230,3 tỷ đồng (99,3% kế hoạch), phân phối đạt 437,3 tỷ đồng (124,7% kế hoạch).Đào tạo là lĩnh vực đem về giá trị thấp nhất với 47,5 tỷ đồng (đạt tới 129,1% kế hoạch).Tỷ trọng lợi nhuận phần mềm và dịch vụ năm 2008 chiếm 63,4% trong khi năm 2007 chỉ chiếm 47,9%.FPT cho biết, Tập đoàn vẫn chú trọng vào những mảng kinh doanh truyền thống đặc biệt là phần mềm và dịch vụ và đây cũng là định hướng năm 2009 của Tập đoàn.Trước đó, tháng 7/2008, FPT đã cắt giảm hàng loạt các chỉ tiêu, trong đó hạ chỉ tiêu tăng trưởng doanh thu tới 19%.Công ty đặt mức tăng trưởng tối đa về lợi nhuận cho năm 2009 là 10%. Tuy nhiên hàng tháng, quý căn cứ theo tình hình biến động sẽ điều chỉnh chỉ tiêu này. (Theo cafef.vn)",2009-01-14 08:46:00,FPT
2640,2640,2643,18470,FPT,FPT: Giao dịch cổ phiếu của cổ đông nội bộ,Tên người thực hiện giao dịch: Lê Quang Tiến Chức vụ hiện nay tại tổ chức niêm yết: Phó Chủ tịch HĐQT kiêm Phó Tổng Giám đốc Công ty Cổ phần FPT Mã chứng khoán giao dịch: FPT Số lượng cổ phiếu nắm giữ trước khi giao dịch: 2.897.134 cổ phiếu Số lượng cổ phiếu dự kiến giao dịch (bán): 730.000 cổ phiếu Số lượng cổ phiếu dự kiến nắm giữ sau khi giao dịch: 2.167.134 cổ phiếu Hình thức giao dịch: Thỏa thuận Mục đích giao dịch: Thực hiện cam kết chuyển nhượng Tên người mua thỏa thuận: Lê Nữ Cẩm Tú (là con Ông Lê Quang Tiến) Thời gian dự kiến thực hiện giao dịch: Từ 16/01/2009 đến 23/01/2009.(Theo hsx.vn),2009-01-14 17:18:00,FPT
2641,2641,2644,18469,FPT,FPT: Kết quả giao dịch cổ phiếu của cổ đông nội bộ,Tên người thực hiện giao dịch: Hoàng Nam Tiến Chức vụ hiện nay tại tổ chức niêm yết: Thành viên HĐQT Công ty Cổ phần FPT Mã chứng khoán giao dịch: FPT Số lượng cổ phiếu nắm giữ trước khi giao dịch: 2.280.640 cổ phiếu Số lượng cổ phiếu đã giao dịch (bán): 456.000 cổ phiếu Số lượng cổ phiếu nắm giữ sau khi giao dịch: 1.824.640 cổ phiếu Mục đích giao dịch: Phục vụ nhu cầu tài chính cá nhân. Thời gian hoàn thành giao dịch: 14/01/2009.(Theo hsx.vn),2009-01-14 17:21:00,FPT
2647,2647,2650,17697,FPT,"FPT: Lợi nhuận sau thuế đạt 839 tỷ đồng, EPS đạt 5,976đồng","Lợi nhuận sau thuế cổ đông công ty mẹ (FPT-HOSE) đạt gần 839 tỷ đồng - tăng 13,7% so với năm 2007. Lãi cơ bản trên mỗi cổ phiếu (EPS) đạt 5.976 đồng - tăng 12,4% so với cùng kỳ năm 2007.Các hoạt động kinh doanh trong mảng tích hợp hệ thống, xuất khẩu phần mềm, viễn thông, đào tạo và phân phối sản phẩn công nghệ thông tin đã hoàn thành kế hoạch lợi nhuận năm 2008 lần lượt là 135%; 99,3%; 89,8%; 129,1% và 124,7%.Biểu đồ tăng trưởng về doanh thu trong 10 năm của FPT (1998 - 2008)Nếu tính riêng mảng phần mềm và dịch vụ, doanh số ước đạt trên 2.688 tỷ đồng - tăng 47,7% so với cùng kỳ năm 2007 và vượt 4,7% kế hoạch đề ra. Lợi nhuận đạt 792 tỷ đồng và tăng 60,7% so với năm 2007. Tỷ trọng lợi nhuận của mảng phần mềm và dịch vụ năm 2008 chiếm 63,4% tổng lợi nhuận, trong khi năm 2007 chỉ chiếm 47,9%. Theo FPT, năm 2009, tập đoàn sẽ tiếp tục chú trọng vào việc phát triển các mảng kinh doanh truyền thống, đặc biệt là mảng phần mềm và dịch vụ. Đồng thời, tập đoàn đã đề ra mục tiêu tăng trưởng lợi nhuận tối đa là 10% hoặc bằng năm 2008.* Tỷ lệ sở hữu của FPT trong các công ty con và công ty liên kết:",2009-01-14 18:24:00,FPT
2816,2816,2819,18381,FPT,FPT: Kết quả giao dịch cổ phiếu của cổ đông nội bộ và người có liên quan đến cổ đông nội bộ,Tên người thực hiện giao dịch: Lê Quang Tiến Chức vụ hiện nay tại tổ chức niêm yết: Phó Chủ tịch HĐQT kiêm Phó Tổng Giám đốc Công ty Cổ phần FPT Mã Chứng khoán Giao dịch: FPT Số lượng cổ phiếu nắm giữ trước khi giao dịch: 2.897.134 cổ phiếu Số lượng cổ phiếu đã giao dịch (bán): 730.000 cổ phiếu Số lượng cổ phiếu nắm giữ sau khi giao dịch: 2.167.134 cổ phiếu Hình thức giao dịch: Thỏa thuận Mục đích giao dịch: Thực hiện cam kết chuyển nhượng Tên người mua thỏa thuận: Lê Nữ Cẩm Tú (là con Ông Lê Quang Tiến). Thời gian hoàn thành thực hiện giao dịch: 16/01/2009.,2009-01-21 14:59:00,FPT
